tenure,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,gender,SeniorCitizen,Partner,Dependents,PhoneService,PaperlessBilling,Churn
-1.2774445836787656,-1.1603229160349193,-0.9941940877241975,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
0.06632741908223598,-0.2596289419448806,-0.17373981825040702,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
-1.2367242199587352,-0.3626603559551803,-0.9596491092068432,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1
0.5142514200025698,-0.7465354629935549,-0.19524770717404713,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
-1.2367242199587352,0.19736523310080326,-0.9404574544749797,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
-0.9924020376385531,1.1595456961969886,-0.6453692184426378,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1
-0.4223169455581282,0.8089065291619363,-0.14731268909089845,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0
-0.9109613101984924,-1.1636465100352518,-0.8741690378436583,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.1779947632379461,1.330710787214099,0.3365155445113559,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1
1.2064976032430856,-0.28621769394753876,0.5314762853391825,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
-0.7888002190384014,-0.4922805219681379,-0.7481879571842649,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0
-0.6666391278783103,-1.5225946620711341,-0.8631834699626606,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0
1.0436161483629645,1.182810854199314,1.4990665744239264,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0
0.6771328748826912,1.2941512532104444,1.2145888969272467,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1
-0.30015585439803716,1.3539759452164248,0.17768805707524452,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0
1.4915401492832983,1.611554480242174,2.475877681529266,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0
0.7992939660427822,-1.4660935640654862,-0.5560508161330802,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
1.5729808767233588,1.393859073220412,2.2495926306793175,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0
-0.9109613101984924,-0.31779183695069496,-0.7742621363716933,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1
-0.46303730927815856,0.8404806721650927,-0.18547540482207522,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
-1.2774445836787656,-0.8346107040023594,-0.9898704505662144,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1
-0.8295205827584317,-1.4943441130683104,-0.9181333687409041,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0
-1.2774445836787656,-1.4827115340671475,-0.9984736061356704,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1
1.0436161483629645,-0.1615829189350795,0.5390426503656528,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0
0.6771328748826912,-0.17155370093607614,0.30309559403000746,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0
-0.0965540357978854,-0.31446824295036285,-0.33208199947490813,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.5956921474426305,1.1495749141959914,1.0879019163236927,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1
-1.2774445836787656,-1.1486903370337564,-0.9940396721114124,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1
1.6137012404433893,0.8471278601657574,1.802757966025724,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0
-0.62591876415828,-0.0020504069191315333,-0.5251015154562935,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1
1.5729808767233588,1.0498670941860242,1.9781299834030972,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0
-1.2367242199587352,1.0216165451832002,-0.9272218305219705,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0
-0.21871512695797646,0.046141706085686136,-0.18037968960016668,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0
-1.2774445836787656,-1.481049737066981,-0.9984515467624155,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
-1.2774445836787656,-0.6484894399837535,-0.9873998007616527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
1.6137012404433893,1.1678546811978192,2.191995607110472,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0
-1.1145631287986442,0.16412929309748078,-0.8675512258671536,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1
0.5549717837226001,0.33363258711442517,0.5581019488579864,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
0.06632741908223598,1.3822264942192488,0.5585210769498316,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1
-0.8702409464784621,1.099721004191008,-0.5196749096355596,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
-0.9109613101984924,-0.5055748979694671,-0.7974906564092245,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0
1.5322605130033284,0.14751132309581955,1.1422562120240511,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0
-0.62591876415828,-1.462769970065154,-0.8228368762792373,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0
1.247217966963116,0.5014740841312035,1.1374472686544574,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0
-0.7888002190384014,0.3801629031190768,-0.574360095934743,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
0.6771328748826912,0.6560212051466532,0.7162235363499371,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
-1.2367242199587352,-0.5155456799704636,-0.9645683494427116,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
-1.2367242199587352,0.5280628361338618,-0.943766360463232,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
0.7992939660427822,0.4981504901308714,0.8534769567426435,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0
1.4915401492832983,-0.020330173920958795,0.8694920617257849,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0
